食品,エネルギー(kcal),たんぱく質(g),脂質(g),飽和脂肪酸(g),一価不飽和脂肪酸(g),多価不飽和脂肪酸(g),コレステロール(mg),炭水化物(g),食物繊維総量(g),マグネシウム(mg),鉄(mg),亜鉛(mg),セレン(μg),β-カロテン(μg),レチノール活性当量(μg),ビタミンD(μg),ビタミンE(mg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),ビタミンC(mg),アルコール(g),カフェイン(g),n-3系多価不飽和脂肪酸(g),n-6系多価不飽和脂肪酸(g),水分(g),食塩相当量(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),リン(mg),ビタミンK(μg),銅(mg),ヨウ素(μg)
卵,75.5,6.15,5.15,1.42,1.845,0.83,210,0.15,0,5.5,0.9,0.65,16,1.5,75,0.9,0.5,0.03,0.215,0.05,0.04,0.45,21.5,0,0,0,0.085,0.745,38.05,0.2,70,65,25.5,90,6.5,0.04,8.5
牛乳,120.6,5.94,6.84,4.194,1.566,0.216,21.6,8.64,0,18,0.036,0.72,5.4,10.8,68.4,0.54,0.18,0.072,0.27,0.18,0.054,0.54,9,1.8,0,0,0.036,0.18,157.32,0.18,73.8,270,198,167.4,3.6,0.018,28.8
ヨーグルト,62,3.6,3,1.83,0.71,0.1,12,4.9,0,12,0,0.4,3,3,33,0,0.1,0.04,0.14,0.1,0.04,0.1,11,1,0,0,0.01,0.08,87.7,0.1,48,170,120,100,1,0.01,17
チーズ,67.8,4.54,5.2,3.2,1.366,0.112,15.6,0.26,0,3.8,0.06,0.64,2.6,0,52,0,0.22,0.006,0.076,0.02,0.002,0.64,5.4,0,0,0,0.034,0.078,9,0.56,220,12,126,146,0.4,0.016,3.8
乳製品,26.8,1.32,1.52,0.932,0.348,0.048,4.8,1.92,0,4,0.008,0.16,1.2,2.4,15.2,0.12,0.04,0.016,0.06,0.04,0.012,0.12,2,0.4,0,0,0.008,0.04,34.96,0.04,16.4,60,44,37.2,0.8,0.004,6.4
肉(かたまり)主体料理,235.2,22.68,14.68,4.62,7.128,1.116,91.2,0.28,0,26.8,1.68,3.48,6.8,0,17.2,0.2,0.52,0.376,0.248,6.4,0.384,0.76,9.2,2.4,0,0,0.052,1.06,81.48,0.16,66,388,5.2,212,14.4,0.084,0
肉煮込み料理,97.92,9.473,6.097,1.9198,2.9623,0.4558,37.87,0.119,0,11.18,0.708,1.463,2.72,0,6.91,0.081,0.214,0.1588,0.1039,2.672,0.1607,0.32,3.78,0.99,0,0,0.0212,0.4329,33.944,0.066,27.43,162,2.16,88.4,5.83,0.0353,0
肉炒め,79.03,7.563,4.958,1.5616,2.4117,0.3681,30.39,0.096,0,8.93,0.571,1.171,2.21,0,5.59,0.065,0.172,0.1231,0.0826,2.136,0.1282,0.259,3.07,0.79,0,0,0.0171,0.3496,27.093,0.053,21.9,129.3,1.73,70.5,4.74,0.028,0
ハム・ベーコン・焼き豚・ソーセージ,74.08,3.693,6.499,2.4259,2.8971,0.6078,11.2,0.205,0,4.63,0.137,0.359,3.88,0,0.72,0.138,0.111,0.1344,0.0324,1.218,0.0515,0.136,0.38,10.7,0,0,0.0517,0.5573,13.85,0.565,226,59,2.02,71.8,0.51,0.0187,7.33
レバー・もつ,151,6.98,12.94,5.758,5.444,0.356,145.2,0.08,0,7,1.58,0.96,7.2,0,1680.8,0.02,0.283,0.078,0.328,2.06,0.102,15.16,163.2,2.984,0,0,0.07,0.19,39.48,0.1,47,126,3.8,103.2,5.6,0.07,0.2
生魚,81.15,11.567,3.406,0.7732,1.0208,0.8686,34.53,0.055,0,17.78,0.218,0.383,15.12,0,8.21,8.872,0.798,0.131,0.0656,3.134,0.2038,3.255,4,0.57,0,0,0.6928,0.1458,39.385,0.091,43.54,218.7,15.96,133.8,0,0.029,4.74
加熱した魚,103.2,14.722,4.326,0.9817,1.2968,1.1031,43.93,0.07,0,22.63,0.278,0.488,19.22,0,10.46,11.317,1.013,0.1665,0.0836,3.989,0.2593,4.155,5.1,0.72,0,0,0.8803,0.1848,50.135,0.116,55.49,278.2,20.36,170.3,0,0.037,6.04
タコ・イカ・エビ・カニ・貝類,26.1,5.571,0.207,0.0261,0.0144,0.0477,53.46,0.144,0,28.8,0.756,0.648,17.91,3.78,1.17,0,0.513,0.0351,0.0882,1.521,0.0342,9.999,5.13,0.36,0,0,0.0414,0.0063,38.178,0.54,213.3,100.8,26.91,74.7,0,0.1,15
かまぼこ・さつま揚げ・竹輪,33.25,4.2,0.315,0.0455,0.0315,0.0805,5.25,3.395,0,4.9,0.105,0.07,0,0,0,0.7,0.07,0,0.0035,0.175,0.0035,0.105,1.75,0,0,0,0.0735,0.0035,26.04,0.875,350,38.5,8.75,21,0,0.0105,0
小魚,3.09,0.6075,0.0525,0.0081,0.003,0.01425,5.85,0.0075,0,1.95,0.012,0.045,0,0,3.6,0.915,0.0225,0.0033,0.0009,0.111,0.0006,0.0945,0.87,0,0,0,0.0132,0.00105,0.69,0.099,39,7.35,7.8,12.9,0,0.00105,0
魚介・魚卵塩蔵品,18.9,3.15,0.495,0.081,0.0885,0.1635,42,0.45,0,1.65,0.105,0.405,0,5.55,6.15,0.15,0.975,0.051,0.0495,2.985,0.0255,1.695,6.45,11.4,0,0,0.1515,0.0105,9.99,0.84,330,27,3.45,43.5,0.15,0.012,0
